Protein	Prize	BetweennessCentrality	FractionOfOptimalForestsContaining	TerminalType
YAL013W	3.22043650428	0.0	1.0	Proteomic
YAL019W	2.80362489974	0.0	1.0	Proteomic
YAL024C	8.61752115157	0.0	1.0	Proteomic
YAL031C	8.72001311483	0.0	1.0	Proteomic
YAL038W	16.7606519206	0.0	1.0	Proteomic
YAL041W	6.26393757473	0.000265722456619	1.0	Proteomic
YAL043C	3.29594721961	0.0	1.0	Proteomic
YAL047C	7.03030837054	0.0	1.0	Proteomic
YAL051W	1.26481822266	0.0	1.0	Proteomic
YAR002W	5.02639043604	0.0	1.0	Proteomic
YAR014C	29.3039500336	0.0	1.0	Proteomic
YBL002W	1.62221145521	0.0	1.0	Proteomic
YBL007C	17.9488205994	0.0	1.0	Proteomic
YBL032W	1.12278655783	0.0	1.0	Proteomic
YBL047C	21.2869851279	0.0	1.0	Proteomic
YBL058W	2.17159757072	0.0	1.0	Proteomic
YBL063W	4.94466814282	0.0	1.0	Proteomic
YBL066C	1.16460004721	0.0	1.0	Proteomic
YBL067C	3.92866916231	0.0	1.0	Proteomic
YBL085W	11.0462254116	0.0	1.0	Proteomic
YBL086C	3.64275739764	0.0	1.0	Proteomic
YBL097W	2.02690480542	0.0	1.0	Proteomic
YBL101C	26.7205671187	0.0	1.0	Proteomic
YBL103C	9.64476770975	0.0	1.0	Proteomic
YBL105C	5.92868077783	0.000572050476375	1.0	Proteomic
YBR001C	5.78650112785	0.0	1.0	Proteomic
YBR009C	0.69882570122	0.0	1.0	Proteomic
YBR023C	9.88418489013	0.0	1.0	Proteomic
YBR028C	9.15804557252	0.0	1.0	Proteomic
YBR038W	3.62947800689	0.0	1.0	Proteomic
YBR042C	3.68254232591	0.0	1.0	Proteomic
YBR059C	14.5354271528	0.00160325377282	1.0	Proteomic
YBR060C	2.54428392887	0.0	1.0	Proteomic
YBR086C	6.63306228435	0.0	1.0	Proteomic
YBR098W	7.95917915804	0.0	1.0	Proteomic
YBR102C	7.77564287469	0.0	1.0	Proteomic
YBR108W	6.55222571001	0.0	1.0	Proteomic
YBR109C	4.91633990335	0.0	1.0	Proteomic
YBR118W	2.90358194833	0.0	1.0	Proteomic
YBR121C	1.39076515046	0.0	1.0	Proteomic
YBR130C	8.22741573781	0.0	1.0	Proteomic
YBR133C	3.10151711258	0.0	1.0	Proteomic
YBR151W	1.98748183781	0.0	1.0	Proteomic
YBR156C	3.97475496164	0.0	1.0	Proteomic
YBR157C	7.7200039634	0.0	1.0	Proteomic
YBR160W	-25.1498681957	0.0454241342846	1.0	Proteomic
YBR188C	3.52503105204	0.0	1.0	Proteomic
YBR200W	2.0445545735	0.0	1.0	Proteomic
YBR212W	4.37029070526	0.0	1.0	Proteomic
YBR225W	3.88747808907	0.0	1.0	Proteomic
YBR247C	4.7335127379	0.0	1.0	Proteomic
YBR270C	13.508465097	0.0	1.0	Proteomic
YBR287W	8.42102570547	0.0	1.0	Proteomic
YBR290W	2.99435993486	0.0	1.0	Proteomic
YCL014W	7.78835254689	0.0	1.0	Proteomic
YCL024W	4.37337106747	0.0	1.0	Proteomic
YCL029C	4.55339908814	0.0	1.0	Proteomic
YCL032W	1.13392399791	0.00726407038439	1.0	Proteomic
YCL051W	8.73529267849	0.0	1.0	Proteomic
YCL061C	9.42610305079	0.0	1.0	Proteomic
YCL063W	2.45008800404	0.0	1.0	Proteomic
YCR002C	3.34911461262	0.0	1.0	Proteomic
YCR023C	12.2266655944	0.0	1.0	Proteomic
YCR065W	7.96936697353	0.0	1.0	Proteomic
YCR073WA	4.29750951126	0.0	1.0	Proteomic
YDL003W	0.89347604193	6.54394375868e-05	1.0	Proteomic
YDL013W	2.75473763861	0.000274218255773	1.0	Proteomic
YDL019C	5.03318191793	0.0	1.0	Proteomic
YDL020C	11.3089577665	0.0	1.0	Proteomic
YDL025C	2.52779575333	0.0	1.0	Proteomic
YDL028C	-1.805	0.000499602782489	1.0	
YDL035C	4.62813288616	0.0	1.0	Proteomic
YDL051W	1.1748199396	0.0	1.0	Proteomic
YDL070W	1.98861138234	0.0	1.0	Proteomic
YDL081C	0.82918959711	0.0	1.0	Proteomic
YDL089W	1.76805001908	0.0	1.0	Proteomic
YDL102W	3.26986147027	0.0	1.0	Proteomic
YDL108W	-0.583413248715	0.00034462446825	1.0	Proteomic
YDL115C	2.21784684683	0.0	1.0	Proteomic
YDL117W	5.94122851068	0.000413462225499	1.0	Proteomic
YDL126C	1.60236928191	0.0	1.0	Proteomic
YDL131W	90.7970723061	0.0	1.0	Proteomic
YDL140C	25.842458279	0.0	1.0	Proteomic
YDL149W	2.79727467761	0.0	1.0	Proteomic
YDL166C	1.10328684606	0.0	1.0	Proteomic
YDL173W	11.4539123151	0.0	1.0	Proteomic
YDL189W	12.0559661107	0.0	1.0	Proteomic
YDL201W	3.29880715546	0.0	1.0	Proteomic
YDL220C	3.31651616913	0.0	1.0	Proteomic
YDL223C	8.76822591673	0.0	1.0	Proteomic
YDL225W	7.07330923824	9.89869521952e-05	1.0	Proteomic
YDR001C	8.09995069079	0.0	1.0	Proteomic
YDR002W	12.3323397847	0.0	1.0	Proteomic
YDR005C	4.07065329134	0.0	1.0	Proteomic
YDR027C	4.91455621662	0.0	1.0	Proteomic
YDR037W	4.06985039522	0.0	1.0	Proteomic
YDR052C	27.2362591108	0.0	1.0	Proteomic
YDR054C	-0.11800927803	0.000173401439145	1.0	Proteomic
YDR074W	4.57577914752	0.0	1.0	Proteomic
YDR093W	5.16721188566	0.0	1.0	Proteomic
YDR097C	7.15947233632	0.0	1.0	Proteomic
YDR130C	4.61368537347	0.0	1.0	Proteomic
YDR137W	3.43157939676	0.0	1.0	Proteomic
YDR145W	2.31981813878	0.0	1.0	Proteomic
YDR146C	3.5143915468	0.0	1.0	Proteomic
YDR153C	22.7068736418	0.0	1.0	Proteomic
YDR158W	1.6216617427	0.0	1.0	Proteomic
YDR169C	9.3774284101	0.0	1.0	Proteomic
YDR172W	24.0204857014	0.0	1.0	Proteomic
YDR207C	3.09486258913	0.0	1.0	Proteomic
YDR208W	6.06018670754	0.0	1.0	Proteomic
YDR217C	23.8162148544	0.0	1.0	Proteomic
YDR226W	1.7504671335	0.0	1.0	Proteomic
YDR227W	6.080805139	0.00012460505426	1.0	Proteomic
YDR229W	9.5533366392	0.0	1.0	Proteomic
YDR239C	13.0667002602	0.0	1.0	Proteomic
YDR251W	7.15707140596	0.0	1.0	Proteomic
YDR264C	2.14157197401	0.000149003246702	1.0	Proteomic
YDR266C	2.09697727515	0.0	1.0	Proteomic
YDR293C	84.1763885763	0.0	1.0	Proteomic
YDR299W	4.63030780164	0.0	1.0	Proteomic
YDR309C	2.54081613695	0.0	1.0	Proteomic
YDR310C	6.61954413646	0.0	1.0	Proteomic
YDR325W	3.63005730386	0.0	1.0	Proteomic
YDR328C	11.499839862	0.0	1.0	Proteomic
YDR330W	2.93494402007	0.0	1.0	Proteomic
YDR348C	10.2680005934	0.0	1.0	Proteomic
YDR356W	1.51203206731	0.0	1.0	Proteomic
YDR379W	12.0515786419	0.0	1.0	Proteomic
YDR385W	4.46403572644	0.0	1.0	Proteomic
YDR386W	8.73818427795	0.0	1.0	Proteomic
YDR388W	3.95697028366	0.000165559163003	1.0	Proteomic
YDR389W	16.9692859032	0.0	1.0	Proteomic
YDR397C	4.72409085095	0.0	1.0	Proteomic
YDR398W	7.62436281682	0.0	1.0	Proteomic
YDR420W	-0.285	0.00350811152762	1.0	
YDR422C	15.7880174098	0.0	1.0	Proteomic
YDR432W	0.71670319757	0.0	1.0	Proteomic
YDR439W	0.67458010101	0.0	1.0	Proteomic
YDR443C	21.892256455	0.0	1.0	Proteomic
YDR451C	2.86607799975	0.0	1.0	Proteomic
YDR477W	-7.91275203703	0.0116977823967	1.0	Proteomic
YDR480W	1.75906301007	0.0	1.0	Proteomic
YDR505C	10.2758672291	0.0	1.0	Proteomic
YDR507C	3.49946945958	0.000964824030527	1.0	Proteomic
YDR510W	-1.045	0.000248774426512	1.0	
YEL015W	3.67675474223	0.0	1.0	Proteomic
YEL017W	3.27566256707	0.0	1.0	Proteomic
YEL032W	9.3431379978	0.0	1.0	Proteomic
YEL061C	3.72075710512	0.0	1.0	Proteomic
YER002W	3.03576199697	0.0	1.0	Proteomic
YER008C	8.60470525087	0.0	1.0	Proteomic
YER016W	10.2547068752	0.0	1.0	Proteomic
YER020W	16.1499246689	0.0	1.0	Proteomic
YER027C	7.56360504133	0.0	1.0	Proteomic
YER028C	2.7333684715	0.0	1.0	Proteomic
YER032W	4.23584284415	0.0	1.0	Proteomic
YER033C	17.062763901	0.0	1.0	Proteomic
YER040W	22.8250891175	0.0	1.0	Proteomic
YER041W	2.27725812206	0.0	1.0	Proteomic
YER048C	10.5734629042	0.0	1.0	Proteomic
YER054C	3.33881659468	0.0	1.0	Proteomic
YER063W	3.76795802644	0.0	1.0	Proteomic
YER079W	2.69454390183	0.0	1.0	Proteomic
YER089C	2.42088741972	0.000230961256417	1.0	Proteomic
YER111C	3.33268359419	0.0	1.0	Proteomic
YER116C	1.2088770708	1.43775062608e-05	1.0	Proteomic
YER118C	-1.71	0.0481867641911	1.0	
YER122C	1.67979888596	0.0	1.0	Proteomic
YER125W	-4.845	0.00200766626061	1.0	
YER127W	1.80017259806	0.0	1.0	Proteomic
YER129W	1.64762485276	0.00384195003707	1.0	Proteomic
YER131W	1.375154774	0.0	1.0	Proteomic
YER133W	-1.805	0.00101666396544	1.0	
YER151C	1.39898337341	0.000198758132005	1.0	Proteomic
YER157W	5.3524501955	0.0	1.0	Proteomic
YER158C	5.62495256138	0.0	1.0	Proteomic
YER167W	2.31819910664	0.0	1.0	Proteomic
YER169W	7.47098429708	0.0	1.0	Proteomic
YFL001W	5.01091635996	0.0	1.0	Proteomic
YFL014W	4.80161699348	0.0	1.0	Proteomic
YFL029C	-0.57	0.00189089103444	1.0	
YFL033C	14.1453969418	0.009638418788	1.0	Proteomic
YFL034W	2.48638506888	0.0	1.0	Proteomic
YFR010W	2.69964030343	0.0	1.0	Proteomic
YFR014C	-11.130787972	0.00208477829817	1.0	Proteomic
YFR017C	2.10526343087	0.0	1.0	Proteomic
YFR024CA	13.0441486855	0.0	1.0	Proteomic
YFR027W	-0.76	0.000386275668205	1.0	
YFR028C	4.89171072698	0.000164252116979	1.0	Proteomic
YFR029W	0.884545025	0.0	1.0	Proteomic
YFR034C	35.4235613412	0.0	1.0	Proteomic
YGL003C	2.44094721961	0.000374555822193	1.0	Proteomic
YGL008C	4.61197946943	0.0	1.0	Proteomic
YGL013C	2.83921772308	0.0	1.0	Proteomic
YGL014W	9.6703456323	0.0	1.0	Proteomic
YGL023C	22.4163396868	0.0	1.0	Proteomic
YGL035C	7.23114222931	0.00411194811849	1.0	Proteomic
YGL056C	1.88806279352	0.0	1.0	Proteomic
YGL058W	-0.855	0.000154231430797	1.0	
YGL073W	8.5329919893	0.0	1.0	Proteomic
YGL075C	0.98191386287	0.0	1.0	Proteomic
YGL086W	3.9921492482	0.0	1.0	Proteomic
YGL093W	3.98459827122	0.0	1.0	Proteomic
YGL113W	3.03892869058	0.0	1.0	Proteomic
YGL122C	4.96958026584	0.0	1.0	Proteomic
YGL124C	3.34874217308	0.0	1.0	Proteomic
YGL153W	4.04651610775	0.0	1.0	Proteomic
YGL180W	-11.9023476751	0.00523787434166	1.0	Proteomic
YGL190C	1.91316867956	2.13484183872e-05	1.0	Proteomic
YGL209W	1.77133395612	0.00119854253165	1.0	Proteomic
YGL253W	6.83344479656	0.0	1.0	Proteomic
YGR008C	100.13862803	0.0	1.0	Proteomic
YGR009C	8.62996958067	0.0	1.0	Proteomic
YGR014W	2.55257715638	0.0074067893425	1.0	Proteomic
YGR068C	29.3704301445	0.0	1.0	Proteomic
YGR086C	3.93266508535	0.0	1.0	Proteomic
YGR092W	-6.84	0.000938900951056	1.0	
YGR100W	6.02072602956	0.0	1.0	Proteomic
YGR113W	5.08304708027	0.0	1.0	Proteomic
YGR126W	20.9885541894	0.0	1.0	Proteomic
YGR130C	2.98744599589	0.0	1.0	Proteomic
YGR136W	1.67743280109	0.0	1.0	Proteomic
YGR140W	1.71976323188	0.0	1.0	Proteomic
YGR159C	29.3267708535	0.0	1.0	Proteomic
YGR167W	11.7899362237	0.0	1.0	Proteomic
YGR186W	3.35532827396	0.0	1.0	Proteomic
YGR188C	5.00871205254	0.0	1.0	Proteomic
YGR238C	5.29767634056	0.0	1.0	Proteomic
YGR240C	2.93819848023	0.0	1.0	Proteomic
YGR241C	8.51119364368	0.0	1.0	Proteomic
YGR253C	1.53896404369	0.0	1.0	Proteomic
YGR270W	3.00221595402	0.0	1.0	Proteomic
YGR285C	76.4229601697	0.0	1.0	Proteomic
YHL007C	1.60152487934	0.00149430837473	1.0	Proteomic
YHL009C	3.67634457909	0.0	1.0	Proteomic
YHL024W	1.18180931495	0.0	1.0	Proteomic
YHL027W	2.52784213569	0.0	1.0	Proteomic
YHL034C	4.08498905222	0.0	1.0	Proteomic
YHR009C	6.43246266863	0.0	1.0	Proteomic
YHR012W	2.44334517615	0.0	1.0	Proteomic
YHR030C	-1.425	0.00188284336535	1.0	
YHR031C	28.4923238237	0.0	1.0	Proteomic
YHR042W	1.70606310798	0.0	1.0	Proteomic
YHR073W	14.6400046791	0.0	1.0	Proteomic
YHR082C	3.9834377795	0.0049653628843	1.0	Proteomic
YHR090C	2.98306360353	0.0	1.0	Proteomic
YHR103W	12.211522368	0.0	1.0	Proteomic
YHR107C	2.98336817911	0.0	1.0	Proteomic
YHR114W	3.75094950642	0.0	1.0	Proteomic
YHR117W	3.00732435107	0.0	1.0	Proteomic
YHR118C	0.69290353399	0.0	1.0	Proteomic
YHR131C	36.5063521955	0.0	1.0	Proteomic
YHR132WA	15.9392738818	0.0	1.0	Proteomic
YHR133C	8.7862767428	0.0	1.0	Proteomic
YHR149C	15.4409811788	0.0	1.0	Proteomic
YHR154W	4.11071127951	0.0	1.0	Proteomic
YHR158C	10.0300241879	0.0	1.0	Proteomic
YHR159W	11.2004335205	0.0	1.0	Proteomic
YHR164C	3.67035516155	0.0	1.0	Proteomic
YHR174W	2.03568368934	0.0	1.0	Proteomic
YHR182W	3.53431718715	0.0	1.0	Proteomic
YHR183W	3.98271945344	0.0	1.0	Proteomic
YHR205W	22.9355632136	0.00866423381833	1.0	Proteomic
YIL026C	2.77899300396	0.0	1.0	Proteomic
YIL031W	4.15448322117	5.80328434525e-05	1.0	Proteomic
YIL033C	9.4465056045	0.0	1.0	Proteomic
YIL038C	6.07332753625	0.0	1.0	Proteomic
YIL041W	6.44225472439	0.0	1.0	Proteomic
YIL044C	9.60293710446	0.0	1.0	Proteomic
YIL047C	36.2006718608	0.0	1.0	Proteomic
YIL063C	1.21517907013	0.0	1.0	Proteomic
YIL078W	3.13515260797	0.0	1.0	Proteomic
YIL084C	6.40856944765	0.0	1.0	Proteomic
YIL091C	1.98232672395	0.0	1.0	Proteomic
YIL106W	3.91687239008	0.00159198205687	1.0	Proteomic
YIL107C	24.7002116251	0.0	1.0	Proteomic
YIL112W	2.83277404766	0.0	1.0	Proteomic
YIL122W	4.12788648663	0.0	1.0	Proteomic
YIL135C	8.17048700358	0.0	1.0	Proteomic
YIL140W	6.39759348192	0.0	1.0	Proteomic
YIL144W	7.95001827363	0.0	1.0	Proteomic
YIL147C	5.34375083664	1.65559163003e-05	1.0	Proteomic
YIR003W	12.0163952114	0.0	1.0	Proteomic
YIR006C	5.24336164439	0.0	1.0	Proteomic
YIR010W	5.46545239768	0.0	1.0	Proteomic
YIR023W	4.34561511873	0.0	1.0	Proteomic
YIR033W	1.39600464586	0.0	1.0	Proteomic
YJL020C	11.952780738	0.0	1.0	Proteomic
YJL033W	3.92058939056	0.0	1.0	Proteomic
YJL051W	2.93688405946	0.0	1.0	Proteomic
YJL070C	8.38466227709	0.0	1.0	Proteomic
YJL076W	6.92932223886	0.0	1.0	Proteomic
YJL080C	3.99856822465	0.0	1.0	Proteomic
YJL084C	8.16387139392	0.0	1.0	Proteomic
YJL092W	14.1626880574	0.0	1.0	Proteomic
YJL095W	-2.14441530007	0.00202853542879	1.0	Proteomic
YJL106W	-6.27	0.00213530864087	1.0	
YJL110C	6.64153887008	0.0	1.0	Proteomic
YJL115W	1.56717462894	0.0	1.0	Proteomic
YJL123C	26.3399206777	2.21824382309e-05	1.0	Proteomic
YJL128C	26.5422667851	0.0192605306209	1.0	Proteomic
YJL136C	2.19062997071	0.0	1.0	Proteomic
YJL141C	3.97280698484	0.000321564441975	1.0	Proteomic
YJL146W	28.5937823726	0.0	1.0	Proteomic
YJL157C	4.45581358366	0.0	1.0	Proteomic
YJL187C	8.6880186796	0.00249295660623	1.0	Proteomic
