GeneA,GeneB,Direction,Sign
YIL095W,YDL223C,1,0
YJL095W,YNL186W,1,0
YBL016W,YBR055C,1,0
YKL166C,YHR158C,1,0
YIL095W,YPR137CA,1,0
YGL019W,YNL131W,1,0
YPL031C,YNL227C,1,0
YBR160W,YNR047W,1,0
YNL154C,YMR165C,1,0
YGL158W,YML037C,1,0
YGL180W,YIL091C,1,0
YHL007C,YMR153W,1,0
YPR119W,YEL032W,1,0
YJL106W,YNL284CA,1,0
YKL139W,YDL140C,1,0
YJR059W,YMR099C,1,0
YPL031C,YDL131W,1,0
YKL101W,YJR141W,1,0
YMR216C,YMR304W,1,0
YPL031C,YBR188C,1,0
YDR477W,YDL051W,1,0
YPL026C,YJR049C,1,0
YGL180W,YKL114C,1,0
YDL214C,YHR060W,1,0
YJL164C,YGL105W,1,0
YOR351C,YMR165C,1,0
YJR059W,YFR017C,1,0
YHR082C,YMR143W,1,0
YPL031C,YOL072W,1,0
YPL150W,YNL064C,1,0
YJL095W,YJR092W,1,0
YDR466W,YML037C,1,0
YBR160W,YNL271C,1,0
YHL007C,YGL207W,1,0
YJL164C,YOR141C,1,0
YPL209C,YMR290C,1,0
YGL180W,YOR340C,1,0
YJL164C,YBL055C,1,0
YPL031C,YEL047C,1,0
YBR160W,YGR014W,1,0
YHR079C,YML045WA,1,0
YFL029C,YDL108W,1,0
YCR008W,YJL164C,1,0
YBR160W,YLR102C,1,0
YAL017W,YCL043C,1,0
YHR082C,YLR249W,1,0
YPL031C,YPL146C,1,0
YDL101C,YPL153C,1,0
YPL031C,YGR249W,1,0
YGL059W,YLR195C,1,0
YPL031C,YOR110W,1,0
YBR059C,YNL027W,1,0
YHR135C,YKR092C,1,0
YBL016W,YEL050C,1,0
YJR059W,YLR350W,1,0
YJL187C,YFR038W,1,0
YBR160W,YLR187W,1,0
YBR160W,YKL116C,1,0
YHR082C,YLR098C,1,0
YDL108W,YLR071C,1,0
YPL153C,YPR091C,1,0
YJL095W,YMR229C,1,0
YPL141C,YLR295C,1,0
YJL187C,YOR141C,1,0
YIL095W,YPL257WA,1,0
YPL203W,YPR185W,1,0
YNL154C,YDR074W,1,0
YKL101W,YBL024W,1,0
YFR014C,YNL218W,1,0
YIL095W,YHR056C,1,0
YDR477W,YHR205W,1,0
YDL235C,YHR206W,0,0
YPL031C,YGR026W,1,0
YGL059W,YNR039C,1,0
YNL154C,YNL101W,1,0
YIL035C,YGR140W,1,0
YPL026C,YGL119W,1,0
YGR092W,YMR196W,1,0
YJL164C,YLL018C,1,0
YBR160W,YDR330W,1,0
YPL031C,YML001W,1,0
YFR014C,YLR276C,1,0
YPL026C,YNL022C,1,0
YBR160W,YGL116W,1,0
YAL017W,YDR454C,1,0
YPL031C,YDL171C,1,0
YGL180W,YFR029W,1,0
YHR082C,YDR134C,1,0
YPL153C,YGL105W,1,0
YBR160W,YCL027W,1,0
YDR507C,YKL093W,1,0
YHL007C,YML080W,1,0
YBR160W,YHR149C,1,0
YGL158W,YNL064C,1,0
YHL007C,YNL272C,1,0
YPL031C,YJL105W,1,0
YBL016W,YJR014W,1,0
YKL166C,YOR266W,1,0
YHR135C,YDR362C,1,0
YBR160W,YGR186W,1,0
YBR160W,YAL024C,1,0
YGL180W,YNL293W,1,0
YPL153C,YGR210C,1,0
YBR160W,YER167W,1,0
YIL095W,YBL024W,1,0
YIL095W,YER122C,1,0
YNL154C,YOL091W,1,0
YOR039W,YGR140W,1,0
YCR077C,YJL164C,1,0
YJL141C,YNR052C,1,0
YJL057C,YAR019C,1,0
YPL031C,YGL023C,1,0
YGL059W,YDL139C,1,0
YJR066W,YDR005C,1,0
YPL031C,YFR021W,1,0
YDR477W,YJL148W,1,0
YJR059W,YIL107C,1,0
YOL113W,YGL134W,1,0
YNL307C,YGR220C,1,0
YNL154C,YNL033W,1,0
YJL164C,YLR022C,1,0
YHR082C,YDR323C,1,0
YPL031C,YMR171C,1,0
YPL031C,YML048W,1,0
YPL031C,YPR017C,1,0
YDR490C,YGR086C,1,0
YPL203W,YKL079W,1,0
YGL180W,YBR270C,1,0
YKL101W,YBR273C,1,0
YJL095W,YOR210W,1,0
YHR082C,YDR266C,1,0
YHR135C,YKL195W,1,0
YPL031C,YGL039W,1,0
YHR082C,YDL131W,1,0
YJL106W,YBR086C,1,0
YPL150W,YER002W,1,0
YKL171W,YOL163W,1,0
YJR059W,YMR285C,1,0
YGL180W,YER131W,1,0
YCL024W,YGL245W,1,0
YGR092W,YLL008W,1,0
YNL307C,YNL066W,1,0
YDL028C,YOR257W,1,0
YFL029C,YPR054W,1,0
YNL307C,YFR009W,1,0
YPL031C,YKL150W,1,0
YNL154C,YOR168W,1,0
YNL020C,YIR006C,1,0
YFR014C,YLR259C,1,0
YPL031C,YBR287W,1,0
YJL164C,YFL023W,1,0
YHR135C,YKL023W,1,0
YPL209C,YBR010W,1,0
YNL154C,YER122C,1,0
YGR092W,YKL168C,1,0
YHR135C,YKL093W,1,0
YDR490C,YKL166C,0,0
YDL108W,YOL012C,1,0
YJL165C,YDL056W,1,0
YHR082C,YNL147W,1,0
YJL164C,YFR038W,1,0
YKL171W,YMR229C,1,0
YHR135C,YGR026W,1,0
YNL154C,YNL192W,1,0
YKL101W,YLL008W,1,0
YHR135C,YDL019C,1,0
YBR160W,YER158C,1,0
YHR082C,YBL078C,1,0
YHR082C,YBR154C,1,0
YJR059W,YMR196W,1,0
YGL158W,YDL220C,1,0
YIL095W,YJL090C,1,0
YIL095W,YBR130C,1,0
YPL153C,YNL186W,1,0
YGL059W,YLL018C,1,0
YFL029C,YKL139W,1,0
YHR135C,YER122C,1,0
YNL154C,YHR214CC,1,0
YPL153C,YDR293C,1,0
YGL158W,YHR044C,1,0
YER027C,YOL136C,1,0
YNL154C,YLR410WA,1,0
YPL031C,YEL017W,1,0
YNL154C,YPL146C,1,0
YPL031C,YNL077W,1,0
YIL095W,YML103C,1,0
YGL180W,YER125W,1,0
YOR351C,YKL093W,1,0
YDL214C,YBL074C,1,0
YHR135C,YOR083W,1,0
YJL164C,YMR140W,1,0
YGL059W,YBR028C,1,0
YHR135C,YER131W,1,0
YFR014C,YOR332W,1,0
YJL164C,YJL080C,1,0
YGL179C,YHL024W,1,0
YKL101W,YIL078W,1,0
YPL150W,YHL003C,1,0
YDR477W,YDR120C,1,0
YOR351C,YML064C,1,0
YJL095W,YPL257WA,1,0
YJL187C,YLR055C,1,0
YHR082C,YDR091C,1,0
YOR061W,YER148W,1,0
YPL042C,YGL066W,1,0
YBR160W,YKR095W,1,0
YJR059W,YDR208W,1,0
YJL187C,YIL077C,1,0
YHR082C,YDR170WA,1,0
YPL141C,YMR165C,1,0
YGR092W,YMR032W,1,0
YBL016W,YOL016C,1,0
YHR135C,YML007W,1,0
YOL016C,YER064C,1,0
YOR351C,YJR049C,1,0
YJL164C,YKR021W,1,0
YHR135C,YGL051W,1,0
YBR160W,YOR127W,1,0
YPL204W,YIL007C,1,0
YHR135C,YGL003C,1,0
YHR135C,YPR091C,1,0
YJR059W,YJR049C,1,0
YPL031C,YMR173W,1,0
YBR136W,YDR076W,1,0
YKL101W,YOL125W,1,0
YPL141C,YCR100C,1,0
YJR059W,YDR153C,1,0
YIL035C,YJR007W,1,0
YOR351C,YIL033C,1,0
YCR008W,YJL051W,1,0
YPL031C,YPL257WA,1,0
YHR082C,YMR111C,1,0
YBR160W,YDR093W,1,0
YGL180W,YML007W,1,0
YGR092W,YGR220C,1,0
YNL307C,YOR335C,1,0
YPL031C,YHR174W,1,0
YFR014C,YJR072C,1,0
YBR160W,YJR092W,1,0
YDR477W,YPR115W,1,0
YHR135C,YBR118W,1,0
YOL113W,YCR073WA,1,0
YJL164C,YPL104W,1,0
YFR014C,YDL143W,1,0
YDL101C,YLR437C,1,0
YPL031C,YHR183W,1,0
YHR079C,YML037C,1,0
YBR160W,YOL100W,1,0
YNL154C,YML083C,1,0
YGR092W,YBL024W,1,0
YGL180W,YGR028W,1,0
YGR092W,YAL051W,1,0
YHL007C,YBR042C,1,0
YFR014C,YGL055W,1,0
YPL031C,YLR093C,1,0
YJL164C,YNL101W,1,0
YDR477W,YOR216C,1,0
YPL031C,YDR169C,1,0
YFR014C,YNL267W,1,0
YNL154C,YDL128W,1,0
YMR216C,YKR071C,1,0
YMR216C,YLL008W,1,0
YGR092W,YBR285W,1,0
YDL028C,YIL144W,1,0
YHR079C,YDL070W,1,0
YPL203W,YJR001W,1,0
YFR014C,YER174C,1,0
YNL154C,YLR429W,1,0
YJL187C,YIL148W,1,0
YHR082C,YKR070W,1,0
YBR160W,YOR014W,1,0
YIL147C,YIL147C,1,0
YKL166C,YNL280C,1,0
YJL106W,YER060W,1,0
YPL031C,YBL032W,1,0
YHR082C,YPL257WA,1,0
YPL141C,YML037C,1,0
YNL154C,YBR025C,1,0
YJL164C,YGR058W,1,0
YMR139W,YAL028W,1,0
YNL298W,YDL006W,1,0
YPL203W,YHL024W,1,0
YPL031C,YDL103C,1,0
YGR092W,YJR142W,1,0
YKL166C,YKL038W,1,0
YLR096W,YER079W,1,0
YBR160W,YDR507C,1,0
YBR160W,YGL216W,1,0
YPL209C,YBR156C,1,0
YHR135C,YOR204W,1,0
YHR135C,YFL050C,1,0
YDL214C,YIL107C,1,0
YPL031C,YFR032CA,1,0
YPL031C,YGL234W,1,0
YJL164C,YPR171W,1,0
YDR477W,YHR117W,1,0
YGL179C,YGR135W,1,0
YGR040W,YPL048W,1,0
YKL166C,YFR017C,1,0
YIL095W,YNL186W,1,0
YLR362W,YJR059W,1,0
YJL187C,YLR309C,1,0
YJL187C,YNL125C,1,0
YOR231W,YBR138C,1,0
YIL035C,YHL020C,1,0
YNL154C,YDL223C,1,0
YHR082C,YPL207W,1,0
YIL095W,YJL129C,1,0
YNL154C,YMR184W,1,0
YDR477W,YOR340C,1,0
YHR082C,YDL220C,1,0
YPL209C,YJL218W,1,0
YPL031C,YER125W,1,0
YBL016W,YDR034CC,1,0
YPL153C,YPL194W,1,0
YIL095W,YIR006C,1,0
YHL007C,YPR091C,1,0
YJL164C,YKR084C,1,0
YPL141C,YGL245W,1,0
YJL164C,YBR028C,1,0
YGL179C,YMR165C,1,0
YPL203W,YOL016C,1,0
YGL180W,YLR410W,1,0
YNL307C,YKL159C,1,0
YDL101C,YER079W,1,0
YOL128C,YIL033C,1,0
YGL180W,YDR293C,1,0
YOR267C,YAL028W,1,0
YGL180W,YMR316W,1,0
YPL153C,YIL135C,1,0
YBL016W,YOL130W,1,0
YFR014C,YHR112C,1,0
YJL164C,YMR102C,1,0
YNL307C,YPR058W,1,0
YJL164C,YGL067W,1,0
YPL150W,YBL023C,1,0
YPL026C,YDR001C,1,0
YCR008W,YAL034WA,1,0
YBR136W,YHR154W,1,0
YJL095W,YPL217C,1,0
YHR135C,YJL033W,1,0
YOL128C,YKR055W,1,0
YBR059C,YLR276C,1,0
YJR059W,YFL054C,1,0
YNL154C,YDR299W,1,0
YHR135C,YDL243C,1,0
YJL164C,YKR090W,1,0
YPL209C,YLR150W,1,0
YCR073C,YDR524C,1,0
YBR160W,YLR086W,1,0
YJL164C,YGR266W,1,0
YHR135C,YGR126W,1,0
YPL031C,YFL022C,1,0
YHR135C,YPL100W,1,0
YDR477W,YOR018W,1,0
YBR160W,YHL007C,1,0
YLR248W,YKL168C,1,0
YPL204W,YLR438W,1,0
YGL059W,YKR090W,1,0
YJL164C,YKL079W,1,0
YHR135C,YIL107C,1,0
YMR001C,YMR032W,1,0
YCR008W,YOR224C,1,0
YBL016W,YLR452C,0,0
YMR216C,YKL146W,1,0
YGL158W,YJR095W,1,0
YBR160W,YLR190W,1,0
YDR477W,YJL033W,1,0
YNL307C,YDL198C,1,0
YGL180W,YDR346C,1,0
YHR135C,YDL053C,1,0
YPL209C,YKR048C,1,0
YKL101W,YOR335C,1,0
YBR160W,YPL153C,1,0
YJL095W,YHR114W,1,0
YOL113W,YGL105W,1,0
YHR135C,YNL054WA,1,0
YPL141C,YDR087C,1,0
YNL307C,YDL153C,1,0
YPL026C,YMR102C,1,0
YFR014C,YJR076C,1,0
YHR030C,YLR442C,1,0
YPL153C,YDL019C,1,0
YOR061W,YNL189W,1,0
YIL095W,YMR184W,1,0
YIL095W,YJR092W,1,0
YKL171W,YNL167C,1,0
YKL166C,YDR023W,1,0
YCR008W,YAR019C,1,0
YOR039W,YOL026C,1,0
YPL042C,YEL009C,1,0
YBR160W,YMR032W,1,0
YHR082C,YDR480W,1,0
YNL307C,YPR013C,1,0
YPL204W,YBR247C,1,0
YBR160W,YPL127C,1,0
YHR135C,YLR410WA,1,0
YCR091W,YPR063C,1,0
YJL187C,YDR229W,1,0
YMR001C,YBR098W,1,0
YKL101W,YBR118W,1,0
YPL141C,YPR137CA,1,0
YPL031C,YML062C,1,0
YHR135C,YPL190C,1,0
YFR014C,YER175C,1,0
YGL180W,YBR108W,1,0
YNL298W,YJR076C,1,0
YJR059W,YMR184W,1,0
YBR160W,YIL106W,1,0
YJL095W,YDR034CC,1,0
YFR014C,YOR092W,1,0
YMR001C,YJL076W,1,0
YGL059W,YOR083W,1,0
YPL141C,YDR299W,1,0
YCR073C,YDL056W,1,0
YHL007C,YOR208W,1,0
YGL179C,YKR009C,1,0
YBR160W,YER129W,1,0
YPL031C,YLR427W,1,0
YJL106W,YDR295C,1,0
YJL164C,YKL061W,1,0
YHR135C,YGR130C,1,0
YBR160W,YJR083C,1,0
YPL256C,YDR356W,1,0
YBR160W,YDR293C,1,0
YNL307C,YAL038W,1,0
YBR136W,YPL153C,1,0
YKL203C,YIL105C,1,0
YBR160W,YJL115W,1,0
YHR135C,YNL094W,1,0
YFL033C,YBL011W,1,0
YMR216C,YOL021C,1,0
YJR059W,YPR107C,1,0
YDR477W,YDL220C,1,0
YPL153C,YDR217C,1,0
YNL307C,YDR002W,1,0
YHL007C,YBR154C,1,0
YHR135C,YLR098C,1,0
YHR135C,YLR451W,1,0
YCR073C,YML096W,1,0
YDL028C,YPL124W,1,0
YHR082C,YER133W,1,0
YHR135C,YER127W,1,0
YDR477W,YER125W,1,0
YJL187C,YBL095W,1,0
YJL165C,YDL074C,1,0
YDL214C,YJL051W,1,0
YPL236C,YPL127C,1,0
YBR160W,YHR098C,1,0
YBL060W,YOR094W,1,0
YJL187C,YMR165C,1,0
YPL209C,YGL105W,1,0
YBL016W,YDR103W,1,0
YGL180W,YNL027W,1,0
YKL116C,YMR284W,1,0
YJR059W,YKL062W,1,0
YKL166C,YLR410W,1,0
YJL095W,YPR032W,1,0
YGL180W,YOR056C,1,0
YFR014C,YPL139C,1,0
YKL116C,YDL013W,1,0
YJL164C,YLR003C,1,0
YJL164C,DOT6TOD6,1,0
YBR059C,YMR297W,1,0
YLR113W,YKL101W,1,0
YPL203W,YOR250C,1,0
YBR160W,YDR146C,1,0
YPL031C,YOL016C,1,0
YPL141C,YPR128C,1,0
YJR059W,YML031W,1,0
YHL007C,YOR232W,1,0
YPL031C,YFR010W,1,0
YJL164C,YGL254W,1,0
YJR059W,YOL130W,1,0
YPL141C,YGL051W,1,0
YMR216C,YOR054C,1,0
YGL180W,YOR141C,1,0
YGL180W,YLR003C,1,0
YBR160W,YBL014C,1,0
YFR014C,YFR010W,1,0
YHR079C,YDR266C,1,0
YJL164C,YNL186W,1,0
YPL026C,YNL227C,1,0
YDR477W,YOL136C,1,0
YPL031C,YLR450W,1,0
YKL126W,YGR038W,1,0
YBL016W,YPR158CC,1,0
YJL095W,YPR137CA,1,0
YGL180W,YDR540C,1,0
YFR014C,YJL177W,1,0
YJR059W,YNL047C,1,0
YGR040W,YNL077W,1,0
YHL007C,YBL011W,1,0
YHR030C,YOR231W,1,0
YHR079C,YPR156C,1,0
YBR160W,YPR141C,1,0
YHR135C,YDL025C,1,0
YGL180W,YKL042W,1,0
YJL187C,YGR159C,1,0
YGL180W,YKL146W,1,0
YCR073C,YJL089W,1,0
YJL164C,YDR239C,1,0
YFL033C,YDL002C,1,0
YIL095W,YOR093C,1,0
YJL187C,YMR039C,1,0
YBR160W,YML034W,1,0
YPL031C,YPR137CA,1,0
YNL307C,YKL146W,1,0
YGR040W,YDL178W,1,0
YNL154C,YNL155W,1,0
YNL020C,YPL279C,1,0
YPL031C,YMR276W,1,0
YOR233W,YML083C,1,0
YOL113W,YHR182W,1,0
YMR001C,YDL006W,1,0
YHR135C,YPR169W,1,0
YPL031C,YMR313C,1,0
YGL180W,YDL051W,1,0
YPL204W,YIL109C,1,0
YPL031C,YGR292W,1,0
YPL031C,YIL084C,1,0
YBL016W,YDR266C,1,0
YJL164C,YLR310C,1,0
YOR351C,YJL146W,1,0
YKL166C,YBR298CA,1,0
YDR477W,YIL156W,1,0
YJL164C,YKL116C,1,0
YHR135C,YJR044C,1,0
YPL031C,YKL042W,1,0
YPL209C,YKL052C,1,0
YFR014C,YGL079W,1,0
YHR082C,YGR276C,1,0
YPL031C,YGL014W,1,0
YJL164C,YNL112W,1,0
YBR160W,YOR045W,1,0
YBR160W,YLL003W,1,0
YGL180W,YMR173W,1,0
YGL180W,YHR214CC,1,0
YJL164C,YNL074C,1,0
YMR001C,YAL047C,1,0
YJL095W,YNL001W,1,0
YDL108W,YAL020C,1,0
YPR120C,YBR060C,1,0
YPL153C,YLR257W,1,0
YJL095W,YLR429W,1,0
YPL031C,YFR035C,1,0
YHR082C,YAL028W,1,0
YPL141C,YOR123C,1,0
YPL026C,YGL245W,1,0
YHR030C,YPL140C,1,0
YPL031C,YNL189W,1,0
YPL031C,YNR007C,1,0
YBR160W,YOR066W,1,0
YGL158W,YHL021C,1,0
YGL179C,YLR231C,1,0
YBR160W,YIL135C,1,0
YHR082C,YLR257W,1,0
YJL187C,YHR133C,1,0
YIL035C,YGL148W,1,0
YPL031C,YDR489W,1,0
YPL203W,YML118W,1,0
YJL164C,YGL184C,1,0
YHL007C,YDR293C,1,0
YCR008W,YMR165C,1,0
YFR014C,YLL033W,1,0
YKL101W,YJR089W,1,0
YBR059C,YHR015W,1,0
YIL143C,YDL140C,1,0
YNL307C,YCR100C,1,0
YGL059W,YMR196W,1,0
YDL017W,YLR274W,1,0
YGL158W,YHR185C,1,0
YPL209C,YBR222C,1,0
YPL141C,YHL009C,1,0
YNL154C,YDR388W,1,0
YNL154C,YBR086C,1,0
YGR092W,YNR047W,1,0
YOR039W,YGR082W,1,0
YBR160W,YLR182W,1,0
YDR477W,YFR022W,1,0
YHR135C,YPR115W,1,0
YNL154C,YDR200C,1,0
YHR082C,YLR131C,1,0
YKL048C,YHR111W,1,0
YGL059W,YKL171W,1,0
YBR160W,YJL060W,1,0
YHR135C,YMR153W,1,0
YDR523C,YGL066W,1,0
YPL031C,YBR130C,1,0
YPL031C,YPR026W,1,0
YFR014C,YGL143C,1,0
YPL031C,YML058W,1,0
YDR477W,YLR242C,1,0
YIL106W,YMR032W,1,0
YDR466W,YNL232W,1,0
YHR135C,YGL122C,1,0
YHR082C,YCL043C,1,0
YIL095W,YDL166C,1,0
YHR079C,YNL192W,1,0
YJL187C,YAL028W,1,0
YPL141C,YDL223C,1,0
YGR092W,YDL019C,1,0
YPL141C,YFR033C,1,0
YJL164C,YPR019W,1,0
YKL166C,YDL081C,1,0
YPL031C,YLR060W,1,0
YBL016W,YFL023W,1,0
YJL164C,YGL023C,1,0
YFR014C,YJL146W,1,0
YGR040W,YJL089W,1,0
YPL153C,YNL284CA,1,0
YBR160W,YLR278C,1,0
YPL031C,YDL173W,1,0
YPL203W,YLR231C,1,0
YKL166C,YDR237W,1,0
YNL307C,YMR238W,1,0
YPL031C,YMR004W,1,0
YOR061W,YOR254C,1,0
YBL016W,YDL159W,0,0
YIL095W,YAR019C,1,0
YPL031C,YHL034C,1,0
YPL031C,YJR103W,1,0
YJL095W,YDR411C,1,0
YBR160W,YJR141W,1,0
YKL101W,YKR071C,1,0
YIL035C,YJR130C,1,0
YFR014C,YKR009C,1,0
YNL154C,YDR026C,1,0
YIL035C,YGR276C,1,0
YGL059W,YHR105W,1,0
YGL180W,YKR071C,1,0
YHR135C,YNR019W,1,0
YKL166C,YAR018C,1,0
YNL307C,YNL074C,1,0
YJL164C,YNL157W,1,0
YPL031C,YIR003W,1,0
YPL031C,YBR155W,1,0
YPL203W,YMR140W,1,0
YPL031C,YPR035W,1,0
YGL180W,YJL033W,1,0
YHR082C,YOR035C,1,0
YNL154C,YDR293C,1,0
YHR082C,YNR047W,1,0
YGL158W,YOR193W,1,0
YJL164C,YKL008C,1,0
YJR059W,YGL221C,1,0
YJR059W,YLR258W,1,0
YJL106W,YGR126W,1,0
YJL164C,YBL058W,1,0
YHR079C,YMR140W,1,0
YFR014C,YNL121C,1,0
YPL204W,YNL131W,1,0
YNL154C,YDL088C,1,0
YPL031C,YOR359W,1,0
YER129W,YER129W,1,0
YBR059C,YKR006C,1,0
YKL171W,YML096W,1,0
YPL031C,YGL246C,1,0
YHR135C,YFR021W,1,0
YHR082C,YCR073WA,1,0
YPL031C,YDL137W,1,0
YFR014C,YAL028W,1,0
YPL031C,YER082C,1,0
YGL180W,YBL061C,1,0
YHR135C,YML035C,1,0
YNL154C,YDL181W,1,0
YJL164C,YDL153C,1,0
YLR096W,YHR207C,1,0
YDL214C,YNR006W,1,0
YDL028C,YJL089W,1,0
YNL307C,YLR006C,1,0
YBR160W,YNL339C,1,0
YPL031C,YDR034CC,1,0
YKL101W,YLR195C,1,0
YOR351C,YGL163C,1,0
YJL106W,YDL181W,1,0
YCR091W,YJL198W,1,0
YNL307C,YMR053C,1,0
YPL031C,YNR010W,1,0
YGL180W,YGL079W,1,0
YJL095W,YJR141W,1,0
YFR014C,YML048W,1,0
YKL101W,YER036C,1,0
YAR019C,YGR092W,1,0
YPL031C,YLR460C,1,0
YJR059W,YDL223C,1,0
YPL031C,YOL049W,1,0
YNL154C,YKL178C,1,0
YNL154C,YLR326W,1,0
YPL153C,YPL127C,1,0
YJL164C,YLR258W,1,0
YHR135C,YBR108W,1,0
YOR267C,YGR276C,1,0
YPL031C,YNL166C,1,0
YGL059W,YGL105W,1,0
YPL204W,YLR182W,1,0
YHR082C,YBL057C,1,0
YNL307C,YBR273C,1,0
YFR014C,YIL051C,1,0
YGL059W,YHR207C,1,0
YOR061W,YMR036C,1,0
YDR477W,YDR477W,1,0
YNL154C,YGL051W,1,0
YNL154C,YGL105W,1,0
YKL101W,YGR210C,1,0
YHR205W,DOT6TOD6,1,0
YHR082C,YOR208W,1,0
YLR113W,YMR037C,1,0
YPL203W,YJL146W,1,0
YMR216C,YIL075C,1,0
YCR008W,YBR285W,1,0
YPL031C,YHR014W,1,0
YBR160W,YDR223W,1,0
YJL106W,YJL106W,1,0
YMR001C,YPL150W,1,0
YPL150W,YOR362C,1,0
YOL113W,YER098W,1,0
YOL113W,YBL024W,1,0
YGL180W,YGL207W,1,0
YFR014C,YLR215C,1,0
YHR082C,YBR212W,1,0
YMR001C,YFR028C,1,0
YKL101W,YDR034CC,1,0
YOR233W,YNL272C,1,0
YNL154C,YNL267W,1,0
YGL179C,YHR090C,1,0
YFR014C,YER154W,1,0
YBR160W,YPR175W,1,0
YBR160W,YNL321W,1,0
YJL106W,YLR079W,0,0
YJL106W,YLR457C,1,0
YNL154C,YMR067C,1,0
YPL026C,YML096W,1,0
YPL031C,YLR183C,1,0
YNL154C,YML035C,1,0
YFR014C,YIL148W,1,0
YHL007C,YNR019W,1,0
YBR160W,YGR270W,1,0
YJR059W,YDR207C,1,0
YKL166C,YBR059C,1,0
YHR135C,YJL110C,1,0
YPL031C,YMR297W,1,0
YNL154C,YDL149W,1,0
YPL203W,YOR113W,1,0
YBR160W,YLR009W,1,0
YJR059W,YKL166C,1,0
YPL031C,YNL007C,1,0
YNL307C,YNL217W,1,0
YNL154C,YDL173W,1,0
YPL141C,YOR210W,1,0
YHR135C,YKR079C,1,0
YOR351C,YIL135C,1,0
YHR079C,YDR388W,1,0
YGR052W,YBR107C,1,0
YPL031C,YFL054C,1,0
YPL153C,YJL084C,1,0
YHR135C,YNL314W,1,0
YNL154C,YDL153C,1,0
YAL017W,YDR134C,1,0
YPR025C,YDL140C,1,0
YGL180W,YLR410WA,1,0
YKL101W,YNL286W,1,0
YKL101W,YDL074C,1,0
YHR082C,YKL146W,1,0
YPL031C,YER024W,1,0
YPL204W,YJR044C,1,0
YKL171W,YLR455W,1,0
YBL016W,YOR141C,1,0
YJL057C,YDR023W,1,0
YJL187C,YDR312W,1,0
YJL164C,YPR137CA,1,0
YPL031C,YCR072C,1,0
YBR136W,YLR437C,1,0
YHR135C,YER034W,1,0
YBR160W,YOR104W,1,0
YDR247W,YBR059C,1,0
YMR139W,YIL135C,1,0
YJR059W,YDR229W,1,0
YHR082C,YOL103WA,1,0
YPL031C,YNR019W,1,0
YDR122W,YGR249W,1,0
YBL016W,YER151C,1,0
YGL179C,YHR073W,1,0
YNL298W,YIL041W,1,0
YJR059W,YKL146W,1,0
YPL026C,YPL282C,1,0
YPL256C,YNL225C,1,0
YNL154C,YGR126W,1,0
YGL180W,YLR192C,1,0
YHR135C,YDR037W,1,0
YIL035C,YKR022C,1,0
YJR059W,YDR113C,1,0
YGR092W,YFR028C,1,0
YHR135C,YKL121W,1,0
YHR082C,YPR131C,1,0
YJL095W,YDL025C,1,0
YAR019C,YBR162C,1,0
YHR135C,YBL078C,1,0
YNL154C,YIL135C,1,0
YGR040W,YGL245W,1,0
YKL101W,YOR252W,1,0
YJL187C,YIR003W,1,0
YJL164C,YPL023C,1,0
YMR139W,YCL032W,1,0
YNL154C,YPL257WA,1,0
YIL035C,YGR113W,1,0
