YBL016W	YDR103W
YBL016W	YHR084W
YBL016W	YOL127W
YBL016W	YPL049C
YBL105C	YJL095W
YBR059C	YGL153W
YBR160W	YAL024C
YBR160W	YBR102C
YBR160W	YDL017W
YBR160W	YDL028C
YBR160W	YDR027C
YBR160W	YDR097C
YBR160W	YDR227W
YBR160W	YDR356W
YBR160W	YDR439W
YBR160W	YER008C
YBR160W	YER111C
YBR160W	YER129W
YBR160W	YFL029C
YBR160W	YFR027W
YBR160W	YGL075C
YBR160W	YGL124C
YBR160W	YGR186W
YBR160W	YGR188C
YBR160W	YGR238C
YBR160W	YHL007C
YBR160W	YIL106W
YBR160W	YIL112W
YBR160W	YJR033C
YBR160W	YJR059W
YBR160W	YKL048C
YBR160W	YKL185W
YBR160W	YLL021W
YBR160W	YLR086W
YBR160W	YLR096W
YBR160W	YLR223C
YBR160W	YML065W
YBR160W	YMR001C
YBR160W	YMR005W
YBR160W	YNL233W
YBR160W	YOL100W
YBR160W	YOR001W
YBR160W	YOR014W
YBR160W	YPL124W
YBR160W	YPL194W
YBR160W	YPL209C
YBR160W	YPL255W
YBR160W	YPR018W
YBR160W	YPR111W
YCL032W	YNR031C
YCR091W	YDL192W
YCR091W	YKL126W
YDL003W	YGL190C
YDL006W	YLR113W
YDL013W	YDR397C
YDL013W	YML032C
YDL017W	YGL201C
YDL028C	YGL086W
YDL101C	YDR264C
YDL101C	YPL153C
YDL108W	YLR071C
YDL108W	YOR174W
YDR054C	YJL157C
YDR054C	YNL103W
YDR264C	YKR007W
YDR283C	YJR007W
YDR457W	YBR009C
YDR466W	YNL232W
YDR477W	YDR422C
YDR477W	YML111W
YDR477W	YNR016C
YDR490C	YDR283C
YDR490C	YHR205W
YER068W	YOR096W
YER075C	YBL016W
YER075C	YBR160W
YER123W	YDR080W
YER151C	YLR167W
YFL029C	YDL108W
YFL029C	YJL106W
YFL029C	YKL139W
YFL029C	YPR161C
YFL033C	YPL031C
YFR014C	YER157W
YFR014C	YFR010W
YFR014C	YJL136C
YFR014C	YJR076C
YFR014C	YLR457C
YFR014C	YML062C
YFR014C	YNL121C
YFR014C	YOL148C
YFR014C	YOR054C
YFR027W	YIL026C
YFR028C	YBR060C
YFR028C	YEL032W
YFR028C	YHR118C
YFR028C	YKL108W
YGR092W	YAL051W
YGR092W	YJR060W
YGR092W	YKR022C
YHL007C	YBL002W
YHL007C	YNL118C
YHR030C	YLR442C
YHR082C	YAL013W
YHR082C	YOR211C
YHR102W	YNL161W
YHR135C	YDL099W
YHR135C	YJR093C
YHR135C	YLR277C
YHR135C	YMR268C
YHR135C	YMR275C
YHR135C	YOL078W
YHR205W	YDR054C
YHR205W	YFL033C
YIL095W	YDR159W
YIL095W	YJL090C
YIL095W	YNL287W
YIL095W	YPL131W
YJL106W	YDR310C
YJL106W	YNL312W
YJL165C	YAR007C
YJL165C	YDL056W
YJL187C	YAR014C
YJL187C	YDR145W
YJL187C	YDR328C
YJL187C	YDR443C
YJL187C	YER027C
YJL187C	YER116C
YJL187C	YGL207W
YJL187C	YGR240C
YJL187C	YKL181W
YJL187C	YLL022C
YJL187C	YLR055C
YJL187C	YMR186W
YJL187C	YOR254C
YJL187C	YOR340C
YJR059W	YBR059C
YJR059W	YDL102W
YJR059W	YDL126C
YJR059W	YDR137W
YJR059W	YDR207C
YJR059W	YGR008C
YJR059W	YGR253C
YJR059W	YHR158C
YJR059W	YJL141C
YJR059W	YKL042W
YJR059W	YKL116C
YJR059W	YKL166C
YJR059W	YLR319C
YJR059W	YNL047C
YJR059W	YPL019C
YKL048C	YCL024W
YKL048C	YDR477W
YKL048C	YDR507C
YKL048C	YOR233W
YKL101W	YDL013W
YKL101W	YIL038C
YKL101W	YJR089W
YKL116C	YLR015W
YKL116C	YML073C
YKL166C	YDL081C
YKL166C	YDR172W
YKL166C	YGR285C
YKL166C	YKL171W
YLR096W	YGR009C
YLR102C	YDR113C
YLR113W	YBL103C
YLR113W	YCL032W
YLR113W	YCL061C
YLR113W	YER151C
YLR113W	YLR248W
YLR113W	YNL167C
YLR362W	YJL128C
YMR001C	YAL047C
YMR001C	YBL084C
YMR001C	YBL097W
YMR001C	YBR098W
YMR001C	YDL003W
YMR001C	YDR052C
YMR001C	YDR325W
YMR001C	YDR386W
YMR001C	YFR028C
YMR001C	YGL003C
YMR001C	YGR092W
YMR001C	YIL031W
YMR001C	YJL076W
YMR001C	YLR272C
YMR001C	YNL102W
YMR001C	YOR373W
YMR001C	YPL150W
YMR216C	YPR019W
YNL020C	YIR006C
YNL020C	YJR104C
YNL154C	YBL105C
YNL154C	YDL088C
YNL154C	YDL201W
YNL154C	YDR074W
YNL154C	YDR200C
YNL154C	YDR266C
YNL154C	YDR480W
YNL154C	YGL008C
YNL154C	YHR082C
YNL154C	YLR221C
YNL154C	YNL097C
YNL154C	YOR208W
YNL154C	YOR295W
YNL154C	YPL138C
YNL154C	YPL181W
YNL298W	YAL041W
YNL298W	YAL043C
YNL298W	YJL187C
YNL298W	YLR362W
YNL307C	YBL037W
YNL307C	YDL006W
YNL307C	YDL150W
YNL307C	YER122C
YNL307C	YFR014C
YNL307C	YIL033C
YNL307C	YKL101W
YNL307C	YLR258W
YNL307C	YMR205C
YOL045W	YCL037C
YOL100W	YGR086C
YOL100W	YPL004C
YOR156C	YLR314C
YOR233W	YBR109C
YOR233W	YJR053W
YOR233W	YMR068W
YOR267C	YPR032W
YPL031C	YBR133C
YPL031C	YBR188C
YPL031C	YDR167W
YPL031C	YDR388W
YPL031C	YER089C
YPL031C	YER131W
YPL031C	YHR012W
YPL031C	YHR042W
YPL031C	YIL084C
YPL031C	YLR102C
YPL031C	YMR192W
YPL031C	YNL136W
YPL031C	YNL225C
YPL031C	YNL289W
YPL031C	YNR010W
YPL031C	YOL123W
YPL031C	YOR110W
YPL031C	YPL118W
YPL031C	YPL249C
YPL141C	YBL007C
YPL141C	YGR258C
YPL141C	YJL115W
YPL141C	YKR072C
YPL141C	YMR291W
YPL141C	YNL246W
YPL141C	YOL139C
YPL141C	YOR123C
YPL150W	YNR006W
YPL150W	YPR072W
YPL153C	YDL225W
YPL153C	YER169W
YPL153C	YHR030C
YPL153C	YNL298W
YPL204W	YER177W
YPL204W	YGR167W
YPL204W	YLR182W
YPL204W	YMR153W
YPL204W	YNL178W
YPL204W	YPR181C
YPL209C	YBR118W
YPL209C	YBR156C
YPL209C	YGR113W
YPL209C	YGR140W
YPL209C	YHR090C
YPL209C	YIL144W
YPL209C	YIR010W
YPL209C	YKL052C
YPL209C	YLR192C
YPR161C	YDL140C
YPR161C	YML010W
